message_id,channel_name,channel_title,message_date,message_text,has_media,image_path,views,forwards
1000,CheMed123,CheMed Medical Products,2026-06-27T06:50:54.102868+00:00,"Amoxicillin 500mg capsules, 100pcs/bottle. Exp 2028. Wholesale price: 450 ETB.",True,data/raw/images/CheMed123/1000.jpg,1628,38
1001,CheMed123,CheMed Medical Products,2026-06-27T04:50:54.102868+00:00,Paracetamol 500mg tablets. 1000pcs pack. Bulk order available. 320 ETB.,False,,4972,420
1002,CheMed123,CheMed Medical Products,2026-06-26T23:50:54.102868+00:00,NEW: Ibuprofen 400mg. Anti-inflammatory. 50 strips per box. 550 ETB.,True,data/raw/images/CheMed123/1002.jpg,6845,313
1003,CheMed123,CheMed Medical Products,2026-06-26T17:50:54.102868+00:00,Medical glucose test strips. Box of 50. Accurate reading. 280 ETB.,False,,6390,396
1004,CheMed123,CheMed Medical Products,2026-06-26T16:50:54.102868+00:00,Cough syrup (Guaifenesin) 100ml. Cherry flavor. 180 ETB. Stock available.,True,data/raw/images/CheMed123/1004.jpg,7271,593
1005,CheMed123,CheMed Medical Products,2026-06-26T09:50:54.102868+00:00,Vitamin C 1000mg effervescent. 20 tablets/tube. Boosts immunity. 210 ETB.,False,,7616,692
1006,CheMed123,CheMed Medical Products,2026-06-26T07:50:54.102868+00:00,Insulin syringe 1ml U-100. Box of 100. Sterile. 340 ETB.,True,data/raw/images/CheMed123/1006.jpg,6882,374
1007,CheMed123,CheMed Medical Products,2026-06-26T01:50:54.102868+00:00,"Blood pressure monitor (digital). Wrist type. 1,200 ETB. 1-year warranty.",False,,2306,6
1008,CheMed123,CheMed Medical Products,2026-06-25T21:50:54.102868+00:00,Antibiotic ointment (Neomycin). 15g tube. For skin infections. 95 ETB.,True,data/raw/images/CheMed123/1008.jpg,4790,133
1009,CheMed123,CheMed Medical Products,2026-06-25T20:50:54.102868+00:00,Multivitamin syrup for kids. 200ml. Iron + Zinc. 250 ETB.,False,,6047,243
1010,CheMed123,CheMed Medical Products,2026-06-25T16:50:54.102868+00:00,Salbutamol inhaler (Asthma). 200 doses. 320 ETB. In stock.,True,data/raw/images/CheMed123/1010.jpg,4048,237
1011,CheMed123,CheMed Medical Products,2026-06-25T11:50:54.102868+00:00,Surgical masks (3-ply). Box of 50. 180 ETB. High quality.,False,,6167,53
1000,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-27T08:50:54.102868+00:00,Vitamin E cream. 50ml. Anti-aging. 450 ETB. Organic ingredients.,True,data/raw/images/lobelia4cosmetics/1000.jpg,4366,335
